Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	rawdata/HREC_P_3.mzML	rawdata/HREC_ETIS_1.mzML	rawdata/HREC_P_1.mzML	rawdata/HREC_IRIS_2.mzML	rawdata/HREC_IRIS_1.mzML	rawdata/HREC_IRIS_3.mzML	rawdata/HREC_IRIS_4.mzML	rawdata/HREC_P_2.mzML	rawdata/HREC_ETIS_2.mzML	rawdata/HREC_ETIS_3.mzML	rawdata/HREC_ETIS_4.mzML	rawdata/HREC_P_4.mzML
Q6ZRP7	Q6ZRP7;H0Y430	QSOX2_HUMAN	QSOX2	Sulfhydryl oxidase 2	146058	121601	244438	281864	311043	316191	280174	355303	300657	305042	332899	351479
Q6ZRQ5	Q6ZRQ5;E2QRD4	MMS22_HUMAN	MMS22L	Protein MMS22-like	22788.8											21089.4
Q6ZRS2	Q6ZRS2;A0A0C4DFX4;A0A0A0MS59	SRCAP_HUMAN	SRCAP	Helicase SRCAP	247281	190265	254847	186890	187655	182335	189774	246679	179274	176596	184842	257544
Q6ZRV2	Q6ZRV2;A0A494C1T9	FA83H_HUMAN	FAM83H	Protein FAM83H	427649	357756	349440	301097	337394	325708	331948	421506	385574	391937	379317	419405
Q6ZS11	Q6ZS11	RINL_HUMAN	RINL	Ras and Rab interactor-like protein	87596.8	182557	76580.6	156476	128554	148649	150750	76598	167447	143008	177030	109498
Q6ZS17	Q6ZS17;H3BU12;A0A0A0MTL6;H3BUP6;H3BS40;H3BQI5;H3BSV5	RIPR1_HUMAN	RIPOR1	Rho family-interacting cell polarization regulator 1	570769	569802	670466	465849	469039	460218	448109	584923	477141	465374	501246	593606
Q6ZS30	Q6ZS30;H7BZA0	NBEL1_HUMAN	NBEAL1	Neurobeachin-like protein 1	171934	270772	175921	270901	269915	256188	254108	190163	290845	254237	246138	174629
Q6ZSG1	Q6ZSG1;K7EQ96	RN165_HUMAN	RNF165	E3 ubiquitin-protein ligase RNF165										22908.4		
Q6ZSJ8	Q6ZSJ8	CA122_HUMAN	C1orf122	Uncharacterized protein C1orf122	1.28694e+06	1.33924e+06	170907	1.07331e+06	1.27074e+06	1.1748e+06	939941	1.06519e+06	1.31766e+06	1.24649e+06	1.19838e+06	1.19973e+06
Q6ZSS3	Q6ZSS3;C9JZC2	ZN621_HUMAN	ZNF621	Zinc finger protein 621			47870.4			28516.6					38678.6	
Q6ZSS7	Q6ZSS7;H7C284	MFSD6_HUMAN	MFSD6	Major facilitator superfamily domain-containing protein 6		73828.8			61154.4	72314.2	76223.9			65419.4		
Q6ZSZ5	Q6ZSZ5;A0A087WZG4;A0A3B3IPE9;A0A590UK10;M0QZS0	ARHGI_HUMAN	ARHGEF18	Rho guanine nucleotide exchange factor 18	404993	308879	404427	280631	283700	309826	293690	416243	269008	287657	303984	413381
Q6ZT07	Q6ZT07	TBCD9_HUMAN	TBC1D9	TBC1 domain family member 9	34889.6	67155.9		68812.9	44891	66760.4	56976.4	28120.2	55475.3	68060.8	75803.1	46181.3
Q6ZT12	Q6ZT12	UBR3_HUMAN	UBR3	E3 ubiquitin-protein ligase UBR3	160390	177548	132911	150016	165558	138440	168625	152211	165188	157652	166108	167036
Q6ZT21	Q6ZT21	TMPPE_HUMAN	TMPPE	Transmembrane protein with metallophosphoesterase domain				121094	113537	99942.9	104353	61772.8	101560	124570	129484	57271.2
Q6ZT62;Q9Y3L3	Q6ZT62;Q9Y3L3;A0A2R8Y5V0;A0A3B3IU28	3BP1_HUMAN;BGIN_HUMAN	BARGIN;SH3BP1	Bargin	40159.3		26629.8	25306.8	27636.9	27435.9		43264		19609.4		48315.8
Q6ZTN6	Q6ZTN6	AN13D_HUMAN	ANKRD13D	Ankyrin repeat domain-containing protein 13D		44829.7							47122.1		45269	
Q6ZTQ3	Q6ZTQ3	RASF6_HUMAN	RASSF6	Ras association domain-containing protein 6		28211.2		28595.2	26719.8	46029.1	29510	29995.4		23233.2	24192.3	28373.6
Q6ZTW0	Q6ZTW0	TPGS1_HUMAN	TPGS1	Tubulin polyglutamylase complex subunit 1	54000	34202	33598.3	35817.8	29492.9	31934.5	36840	36664.3		31272.1	43041.5	40341.7
Q6ZU35	Q6ZU35;F5H1N7	CRAD_HUMAN	CRAD	Cancer-related regulator of actin dynamics		37816.4	43340.2	39208.8	48738.7		47008.8	44625.5	43934.1	50673.4	45323.4	
Q6ZU65	Q6ZU65;H7C4P8	UBN2_HUMAN	UBN2	Ubinuclein-2	33888.4	34333.6	32768	21370.6	23843.8			25506.2				20954.9
Q6ZU80	Q6ZU80;G3V3F4;Q86TS1	CE128_HUMAN	CEP128	Centrosomal protein of 128 kDa	153496		119907					165780				195539
Q6ZUJ8	Q6ZUJ8	BCAP_HUMAN	PIK3AP1	Phosphoinositide 3-kinase adapter protein 1	68767.5	85726.2	51663.4	87152.9	79334	80155.7	66002.4	51932.9	88301.6	82479	82237.6	65075.7
Q6ZUM4	Q6ZUM4;E9PNT2;A0A0G2JRG8;A0A0G2JNY3;E9PIR1;E9PNX6	RHG27_HUMAN	ARHGAP27	Rho GTPase-activating protein 27	307302	460639	292680	365545	441557	393336	402967	333012	471135	485284	471949	298137
Q6ZUT6	Q6ZUT6;H0YM82	CCD9B_HUMAN	CCDC9B	Coiled-coil domain-containing protein 9B	518417	990211	460035	1.10712e+06	1.11416e+06	995722	1.01622e+06	513485	942741	906939	1.06106e+06	528820
Q6ZUT9	Q6ZUT9;G3V1S3	DEN5B_HUMAN	DENND5B	DENN domain-containing protein 5B	50325.7	41973.6	44589.4	44533.5	51877.9	44241.7		42274.3	56261.1	60030.8	48511.3	37513.6
Q6ZV73	Q6ZV73;F8VY01	FGD6_HUMAN	FGD6	FYVE, RhoGEF and PH domain-containing protein 6	122383	109351	108525	101721	123486	112461	101188	124688	102531	120278	111642	143004
Q6ZV89	Q6ZV89	SH2D5_HUMAN	SH2D5	SH2 domain-containing protein 5	79053.5	99830.4	87971.1	105513	123346	114956	128509	68381.9	95196.2	115472	119086	94338
Q6ZVK8	Q6ZVK8	NUD18_HUMAN	NUDT18	8-oxo-dGDP phosphatase NUDT18	78772.9	186163	87514.7	164254	168066	169561	194136	112183	192263	175844	177892	137202
Q6ZVM7	Q6ZVM7	TM1L2_HUMAN	TOM1L2	TOM1-like protein 2	287882	501908	243510	451742	435178	434929	452021	305991	519597	455891	591505	267676
Q6ZW31	Q6ZW31;M0QXZ8	SYDE1_HUMAN	SYDE1	Rho GTPase-activating protein SYDE1	81861.7	64856.4	83957.6	54256.6	59270.3	55817.5	71499.1	64331.5	60813.9	61821.1	68240	61359.3
Q6ZW49	Q6ZW49;F8WC23;H7BZI8	PAXI1_HUMAN	PAXIP1	PAX-interacting protein 1	102133	60557.7	82547.3	112491	65312.9		61386.7	154414	70583.4	81964.4	81264.7	100713
Q6ZW76	Q6ZW76;K7EPL7;D3DUE4;F6WF08	ANKS3_HUMAN	ANKS3	Ankyrin repeat and SAM domain-containing protein 3	101201	58609.4	82937.8	73805.3	68942.7	77579	77989	81453.4	67463.1	74562.5	67580.3	92531.4
Q6ZWJ1	Q6ZWJ1;E7EPP7	STXB4_HUMAN	STXBP4	Syntaxin-binding protein 4	139239	195056	59117.7	179238	162246	210501	170753	141049	164291	130884	161130	132324
Q6ZWL3	Q6ZWL3	CP4V2_HUMAN	CYP4V2	Cytochrome P450 4V2		42823.6	20428.7	17797.8	25766.3	35544.5	37507	25175.7	27069.8	17891.1	27114.1	
Q6ZXV5	Q6ZXV5;F8W044;F8VRY4	TMTC3_HUMAN	TMTC3	Protein O-mannosyl-transferase TMTC3	237657	297907	254647	301636	296940	290606	298484	249127	314568	294354	303216	222471
Q6ZYL4	Q6ZYL4	TF2H5_HUMAN	GTF2H5	General transcription factor IIH subunit 5					48082				55336.1			
Q709C8	Q709C8;A0A3B3IU50	VP13C_HUMAN	VPS13C	Vacuolar protein sorting-associated protein 13C	231576	361208	285076	355397	339769	334785	340291	232619	378032	380555	341636	239162
Q709F0	Q709F0;D6RDI8;F8WEV0	ACD11_HUMAN	ACAD11	Acyl-CoA dehydrogenase family member 11	112688	100796	113719	68395.4	84899	64676.8	56674.2	78152.1	97408.7	84733.3	105303	93704.9
Q70CQ2	Q70CQ2	UBP34_HUMAN	USP34	Ubiquitin carboxyl-terminal hydrolase 34	199558	160751	161138	167040	157371	142363	171967	213357	157670	160904	167780	239342
Q70CQ4	Q70CQ4;I3L4X5	UBP31_HUMAN	USP31	Ubiquitin carboxyl-terminal hydrolase 31	32658	61864.5	28758	60669.4	45863.8	62852.5	62810.1	40516.3	44760.1	43921	54406.8	40244.7
Q70E73	Q70E73;C9K0J5	RAPH1_HUMAN	RAPH1	Ras-associated and pleckstrin homology domains-containing protein 1	215251	227803	117112	183947	184262	214796	200302	138341	177203	203440	176976	206211
Q70EK8	Q70EK8;D6RF54	UBP53_HUMAN	USP53	Inactive ubiquitin carboxyl-terminal hydrolase 53	66389.9	36678.4	69149.5	43140.5				56360.1				
Q70EL1	Q70EL1;H7C1E9	UBP54_HUMAN	USP54	Inactive ubiquitin carboxyl-terminal hydrolase 54	81353.4	95918	28249	71154.8	93300.7	87491.8	79280.7	76596.5	63707.5	78059.6	68721.9	108249
Q70EL4	Q70EL4;V9GXZ5	UBP43_HUMAN	USP43	Ubiquitin carboxyl-terminal hydrolase 43	65743	36588.9	42502.5	42505.7	38179.7	31331.4	41051.7	66394.3	34442.5	18951.5		66655.1
Q70HW3	Q70HW3	SAMC_HUMAN	SLC25A26	S-adenosylmethionine mitochondrial carrier protein	46645.4	65066.8			77102.7	65142.6	76022	43262.2	66164.3	61907.2	69655.2	68080.9
Q70UQ0	Q70UQ0	IKIP_HUMAN	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	2.4922e+06	2.98234e+06	2.37774e+06	2.90904e+06	3.03919e+06	2.77742e+06	2.82629e+06	2.59932e+06	3.13251e+06	2.96618e+06	3.15164e+06	2.69156e+06
Q70Z35	Q70Z35	PREX2_HUMAN	PREX2	Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 2 protein						39338					31258	
Q70Z53	Q70Z53	F10C1_HUMAN	FRA10AC1	Protein FRA10AC1	180990	104235	224918					150944				195259
Q712K3	Q712K3	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2	404783	302320	420231					369652				
Q717R9	Q717R9	CYS1_HUMAN	CYS1	Cystin-1	146432	166680	150697	118083	130206	155373	124736	136535	135926	152298	129692	127974
Q719H9	Q719H9;J3QRK1;A0A2U3U043;J3KSG1	KCTD1_HUMAN	KCTD1	BTB/POZ domain-containing protein KCTD1	86557.5	125912	145997	106199	95316.1	109122	102609	110933	97449.5	88413.1	97179.6	98519.5
Q71F23	Q71F23	CENPU_HUMAN	CENPU	Centromere protein U								47872.1				53603.8
Q71F56	Q71F56;A0A3B3IRX3;F8VRB8;H0YHC1;A0A3B3IS46	MD13L_HUMAN	MED13L	Mediator of RNA polymerase II transcription subunit 13-like	97791.5	60691.3	82612.6	57555.8	80377.7	58854.2	68184.5	98787	49893	51923.3	36422.7	82973.1
Q71RC2	Q71RC2;X6RLN4;Q96J85	LARP4_HUMAN	LARP4	La-related protein 4	1.0416e+06	623181	933070	618936	566227	518249	519067	880117	511555	551692	555967	1.0664e+06
Q71SY5	Q71SY5;M0QZQ2;B9TX33	MED25_HUMAN	MED25	Mediator of RNA polymerase II transcription subunit 25	271152	165587	199360	213277	249905	250355	214210	221181	239184	234200	225560	253379
Q71UM5	P42677;Q71UM5;C9JLI6;H0YMV8	RS27L_HUMAN	RPS27L	40S ribosomal protein S27-like	6.73753e+06	6.2095e+06	6.62269e+06	5.82083e+06	5.15165e+06	6.02952e+06	6.29553e+06	8.52051e+06	6.69315e+06	6.47236e+06	5.87204e+06	8.30725e+06
Q75N03	Q75N03;C9J2P9	HAKAI_HUMAN	CBLL1	E3 ubiquitin-protein ligase Hakai	338677	218227	128011	279432	263028	245084	238364	327764	252497	260293	266321	353642
Q75QN2	Q75QN2;J3KNV5;H0YBS1	INT8_HUMAN	INTS8	Integrator complex subunit 8	17032.9	15155.4		14852.8					10535.5			
Q75T13	Q75T13;H7BZN8	PGAP1_HUMAN	PGAP1	GPI inositol-deacylase	33175.6	40267.2	19396.4	26372.9	19951.3	32100.3	27913.6		30284.8	31604.5	35220.6	14711.5
Q765P7	Q765P7;A0A087WXN9	MTSS2_HUMAN	MTSS2	Protein MTSS 2			18457.4					96609.7	118386		120171	131968
Q76FK4	Q76FK4;A0A0A0MSJ1;F5H797;F5H692;F5GWN9;F5H101;F8WE42	NOL8_HUMAN	NOL8	Nucleolar protein 8	206172	178176	211299	181554	177698	184427	147569	222022	183728	165368	192829	203213
Q7KYR7	Q7KYR7	BT2A1_HUMAN	BTN2A1	Butyrophilin subfamily 2 member A1	57743.8	74178.9	27623	73152.6	78301.6	69023.9	71367.1	41955.6	77938.4	75778.5	68835.7	58039.8
Q7KZ85	Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	756470	541358	610571	549537	556600	572447	599378	758143	559031	559259	568178	787369
Q7KZF4	Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	2.79637e+06	2.56821e+06	2.42824e+06	2.63034e+06	2.71422e+06	2.57518e+06	2.73168e+06	2.79963e+06	2.51973e+06	2.56307e+06	2.53032e+06	2.73664e+06
Q7KZI7	Q7KZI7;E7ETY4;E9PC69	MARK2_HUMAN	MARK2	Serine/threonine-protein kinase MARK2	208196	233460	247867	263694	235018	215046	228787	197372	246854	245008	235696	207255
Q7KZN9	Q7KZN9	COX15_HUMAN	COX15	Cytochrome c oxidase assembly protein COX15 homolog				12488.3								
Q7L014	Q7L014;A0A0C4DG89	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	1.16148e+06	958889	1.10951e+06	1.01127e+06	954274	1.04368e+06	986144	1.21282e+06	980710	984394	959825	1.2935e+06
Q7L099	Q7L099	RUFY3_HUMAN	RUFY3	Protein RUFY3	69490.6	103324	67998.3	90600	80649.6	84959.7	82947.2	51907.2	92084.3	80041.4	80554.3	61904.7
Q7L0J3	Q7L0J3	SV2A_HUMAN	SV2A	Synaptic vesicle glycoprotein 2A			36792.7	32140.4								
Q7L0Y3	Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C	304942	974974	665337	645307	780662	891079	1.17208e+06	843831	826881	940996	923822	900332
Q7L1Q6	Q7L1Q6;H0Y503	BZW1_HUMAN	BZW1	Basic leucine zipper and W2 domain-containing protein 1	4.83061e+06	4.27398e+06	4.72069e+06	4.5199e+06	4.33745e+06	4.4784e+06	4.42176e+06	5.1491e+06	4.76027e+06	4.46465e+06	4.49134e+06	5.16201e+06
Q7L1T6	Q7L1T6;A0A0A0MRM6	NB5R4_HUMAN	CYB5R4	Cytochrome b5 reductase 4	183798	202541	169813	141973	136045	148112	69648.6	131138	150755	126262	139958	146193
Q7L1V2	Q7L1V2;E7EW32	MON1B_HUMAN	MON1B	Vacuolar fusion protein MON1 homolog B	328350	444398	362676	445613	439780	413493	410782	392465	396356	391598	389609	392964
Q7L1W4	Q7L1W4	LRC8D_HUMAN	LRRC8D	Volume-regulated anion channel subunit LRRC8D	254049	173217	289493	204635	138201	209736	137769	223400	190684	195921	202639	230400
Q7L211	Q7L211	ABHDD_HUMAN	ABHD13	Protein ABHD13	36520.3	48944		36145.4			48217.6		43835	52805.8	39777	43081.2
Q7L266	Q7L266	ASGL1_HUMAN	ASRGL1	Isoaspartyl peptidase/L-asparaginase	718468	1.00452e+06	669630	848293	849326	887872	764204	714007	1.12823e+06	1.09853e+06	1.08376e+06	752452
Q7L273	Q7L273	KCTD9_HUMAN	KCTD9	BTB/POZ domain-containing protein KCTD9	99465	52850.3	83878.4	81003.7	50212.9	52610	61885.1	110706		61168.1	74120.9	110217
Q7L2E3	Q7L2E3;H7BXY3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	748229	587740	651591	658777	600956	559440	610331	720516	630982	543114	596643	745572
Q7L2H7	Q7L2H7;E9PRY0;J3KNJ2;E9PN86	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	1.53297e+06	1.11464e+06	1.8378e+06	1.17512e+06	1.19524e+06	1.13326e+06	1.08551e+06	1.45001e+06	1.11031e+06	1.1498e+06	1.12364e+06	1.42803e+06
Q7L311	Q7L311	ARMX2_HUMAN	ARMCX2	Armadillo repeat-containing X-linked protein 2	214792	310826	174032	296172	338263	276588	275782	220752	330876	353029	293515	218774
Q7L3B6	Q7L3B6;B1AL69	CD37L_HUMAN	CDC37L1	Hsp90 co-chaperone Cdc37-like 1	123793	101633	142930	133575	158957	138052	147766	139727	140654	173591	155907	177518
Q7L3T8	Q7L3T8	SYPM_HUMAN	PARS2	Probable proline--tRNA ligase, mitochondrial	179122	172320	164155	200178	259896	249278	259303	172724	248594	204112	230602	193851
Q7L523	Q7L523	RRAGA_HUMAN	RRAGA	Ras-related GTP-binding protein A	227343	388732	164513	422726	390277	441327	432004	262334	471803	468430	486683	276995
Q7L576	Q7L576;A0A0G2JQT1;A0A0G2JR96	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	2.8913e+06	2.82898e+06	2.48188e+06	3.17353e+06	2.96947e+06	3.006e+06	2.99045e+06	2.9882e+06	3.01261e+06	3.03799e+06	2.78057e+06	2.96674e+06
Q7L592	Q7L592;C9JEL7;C9JS27;C9J236;C9JP36	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial	53634.1	76553.8	38595.7	86519.4	94554.8	104429	76181.9	52884.3	81649.1	110196	124605	55974.5
Q7L5A8	Q7L5A8;H3BP32	FA2H_HUMAN	FA2H	Fatty acid 2-hydroxylase					50591.2	58802.8	66017.5	23126.2	49417.9	35629.3	53701.5	
Q7L5D6	Q7L5D6;C9JPA8;C9JY46;C9JHN8	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog	189671	208377	146736	221929	269642	220969	240289	166478	224336	267724	246124	210705
Q7L5N1	Q7L5N1;E7EM64	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	734436	869911	835046	809870	859122	894211	794107	739824	916734	790386	852754	730541
Q7L5N7	Q7L5N7;H3BU68	PCAT2_HUMAN	LPCAT2	Lysophosphatidylcholine acyltransferase 2		62642	355773	389405	119562	73129.8	84303.3	97986	49763.9	87451.7	103105	89098.5
Q7L5Y1	Q7L5Y1;A0A3F2YNX7;J3QL81	ENOF1_HUMAN	ENOSF1	Mitochondrial enolase superfamily member 1	53601.9	36497	44375.8	86210.8	96146.2	84599.1	92125	58930.2	94989.6	101180	77036.6	110236
Q7L775	Q7L775	EPMIP_HUMAN	EPM2AIP1	EPM2A-interacting protein 1	306858	433404	401152	430240	423253	440952	460539	411412	388084	425151	390388	441090
Q7L7V1	Q7L7V1	DHX32_HUMAN	DHX32	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	64690.6	89135.1	94311.5	94869.9	83970.8	90132.4	78592.7	76241.8	90986.9	82223.4	85967.7	86967
Q7L7X3	Q7L7X3	TAOK1_HUMAN	TAOK1	Serine/threonine-protein kinase TAO1	297156	261543	344540	199250	185910	200817	196151	177667	180883	188803	192332	174448
Q7L804	Q7L804	RFIP2_HUMAN	RAB11FIP2	Rab11 family-interacting protein 2	381492	526216	1.56402e+06	1.41187e+06	1.31225e+06	1.43312e+06	1.47013e+06	408592	1.3239e+06	1.81378e+06	1.43715e+06	1.24246e+06
Q7L8C5	Q7L8C5;H0YD47	SYT13_HUMAN	SYT13	Synaptotagmin-13												41367.3
Q7L8J4	Q7L8J4	3BP5L_HUMAN	SH3BP5L	SH3 domain-binding protein 5-like	115453	137104	115494	137272	138744	145228	135581	129360	140867	127540	142894	115740
Q7L8L6	Q7L8L6	FAKD5_HUMAN	FASTKD5	FAST kinase domain-containing protein 5, mitochondrial	236963	229885	244532	216250	258472	222846	220150	239164	263176	221149	239839	222324
Q7L8W6	Q7L8W6;H0YND7;H0YNH5	DPH6_HUMAN	DPH6	Diphthine--ammonia ligase	290284	223737	252375	173350	226377	190745	184286	295357	211921	206915	222984	248133
Q7L9B9	Q7L9B9	EEPD1_HUMAN	EEPD1	Endonuclease/exonuclease/phosphatase family domain-containing protein 1								96125.1				85435.5
Q7LBC6	Q7LBC6	KDM3B_HUMAN	KDM3B	Lysine-specific demethylase 3B	515033	360159	499181	331182	408434	350109	376855	507607	365283	370483	392963	491324
Q7LG56	Q7LG56;H0YAV1;A0A0C4DGZ6	RIR2B_HUMAN	RRM2B	Ribonucleoside-diphosphate reductase subunit M2 B	1.10326e+06	1.63508e+06	1.10403e+06	1.8324e+06	1.71903e+06	1.69573e+06	1.67747e+06	1.05606e+06	2.17209e+06	2.1171e+06	2.15964e+06	1.0534e+06
Q7LGC8	Q7LGC8	CHST3_HUMAN	CHST3	Carbohydrate sulfotransferase 3	124420	150762	162692	127897	135525	139214	142346	174681	147720	156213	133933	211460
Q7RTN6	Q7RTN6;A0A1W2PPM8;A0A1W2PQ00;J3KSK5;A0A1W2PS04;A0A1W2PR00;A0A1W2PNV1;Q86YC8;A0A1W2PPI1;A0A1W2PP78;J3QKR7;A0A1W2PQF1;A0A1W2PNV7;A0A1W2PPG2;J3KSA2;J3QQS3;A0A1W2PQE8;A0A1W2PQ20;A0A1W2PRW9;A0A1W2PPJ9;J3QS66;A0A1W2PR65;A0A1W2PR44;A0A1W2PRQ6	STRAA_HUMAN	STRADA	STE20-related kinase adapter protein alpha			382655	144971	115767	115862	118182		123572	150274	142669	78609.1
Q7RTP6	Q7RTP6;O94851;A0A5F9ZHV5;E9PP85;A0A2R8YFA9	MICA3_HUMAN	MICAL3	[F-actin]-monooxygenase MICAL3	583831	672254	551332	687547	683098	670934	669197	614366	629608	654905	667629	589313
Q7RTV5	Q7RTV5;H0Y5J5	PXL2C_HUMAN	PRXL2C	Peroxiredoxin-like 2C	109212	86838.3	99396.6	88922.1		127454	94966.6	72751.5	91174.7		118359	148332
Q7Z2E3	Q7Z2E3;C9JZ40;A0A0A0MRW7;F8W6G5;C9J8U3	APTX_HUMAN	APTX	Aprataxin	49913.2	59943.4			21102.4			50110.8				31768.4
Q7Z2H8	Q7Z2H8;E7EW39;E5RHG5	S36A1_HUMAN	SLC36A1	Proton-coupled amino acid transporter 1				8436.38					12207.8	4216.19		
Q7Z2K6	Q7Z2K6;E7ER77	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1	337839	383096	372206	374640	348580	340150	328331	299056	357819	377177	352457	323803
Q7Z2K8	Q7Z2K8	GRIN1_HUMAN	GPRIN1	G protein-regulated inducer of neurite outgrowth 1	203936	165218	157623	168365	201074	214607	213190	203976	188060	229506	213527	148543
Q7Z2T5	Q7Z2T5	TRM1L_HUMAN	TRMT1L	TRMT1-like protein	250861	217122	247492	195571	243599	216182	204242	248509	268703	248572	250916	262163
Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	589789	720588	643554	680197	650112	709103	639103	746834	658108	700519	724243	740736
Q7Z2W9	Q7Z2W9;F5H7V8	RM21_HUMAN	MRPL21	39S ribosomal protein L21, mitochondrial	160282	193166	176960	268929	240865	279945	292265	172914	219999	246758	216939	167803
Q7Z2Y5	Q7Z2Y5	NRK_HUMAN	NRK	Nik-related protein kinase	38608.8		68118.8	39704.6				51546.8				46223.5
Q7Z2Z2	Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1	854880	1.0611e+06	642077	983811	1.00507e+06	937855	839438	699079	902025	792373	860452	752745
Q7Z304	Q7Z304;A0A0G2JQ91	MAMC2_HUMAN	MAMDC2	MAM domain-containing protein 2	24858.2	48588.6	24991.4	30995.1	46986.9	27300.2	32428.5	31667.5	55225	53175.9	48822.3	
Q7Z309	Q7Z309;G1UD79	F122B_HUMAN	FAM122B	Protein FAM122B	168850	77520.3		86436.1	101663	75789.1	78089.8	122773	109613	91010	95811.5	156674
Q7Z333	Q7Z333;X6RI79	SETX_HUMAN	SETX	Probable helicase senataxin	76920.2	60130.9	107240	79862.8	82658	70223.6	65746.2	70782.1	62945	58878.3	74191.5	85676.1
Q7Z388	Q7Z388	D19L4_HUMAN	DPY19L4	Probable C-mannosyltransferase DPY19L4	53972	60490.4	78991.8	81515.9	80434	84837.4	89452.3	77717	79231.4	81101	64537.1	69443.7
Q7Z392	Q7Z392	TPC11_HUMAN	TRAPPC11	Trafficking protein particle complex subunit 11	159656	137903	98547.1	156501	151465	149733	168656	119167	148152	145066	160791	137635
Q7Z3B3	Q7Z3B3;A0A1W2PRB5;A0A0J9YVS1;A0A3B3IT55;I3L233;A0A1W2PPV8;A0A0G2JNB1;A0A0G2JQF5;A0A0G2JNT7;A0A0G2JQF4	KANL1_HUMAN	KANSL1	KAT8 regulatory NSL complex subunit 1	85726.5	45147.1	69097.2	35929.8	53938.5	43839.8	49180	79583	55544.9	65678.7	61852.4	63045.3
Q7Z3B4	Q7Z3B4	NUP54_HUMAN	NUP54	Nucleoporin p54	834740	551572	676311	920579	827197	849586	813778	952384	827450	843741	887142	995518
Q7Z3C6	Q7Z3C6;H7C1G6;H7C152	ATG9A_HUMAN	ATG9A	Autophagy-related protein 9A	534511	569397	324678	394191	401259	453826	401837	552142	514341	522283	474728	541402
Q7Z3D4	Q7Z3D4	LYSM3_HUMAN	LYSMD3	LysM and putative peptidoglycan-binding domain-containing protein 3	98495.2	118436	99378	103380	113106	96745.8	86467.9	119552	109693	109449	114188	103565
Q7Z3D6	Q7Z3D6;E5RIL4;E5RIU5;E5RJ87;E5RFZ6;A0A0C4DGD8;H0YB09;A0A0C4DGD4;E5RGP9;E5RGN8;E5RJ62	GLUCM_HUMAN	DGLUCY	D-glutamate cyclase, mitochondrial	768416	1.21e+06	651952	1.60801e+06	1.41202e+06	1.50443e+06	1.48034e+06	772056	1.40823e+06	1.43595e+06	1.34605e+06	933046
Q7Z3E2	Q7Z3E2;H0Y7V5	CC186_HUMAN	CCDC186	Coiled-coil domain-containing protein 186	48167	62127.6	43206	21490	55029.5	34261.8	17206.6	36479.8	52295.9	48058.8	42775	45990.7
Q7Z3E5	Q7Z3E5;H7BZA2;A0A2Q3DP09;H7BZY2;H7C3U7;C9J535	ARMC9_HUMAN	ARMC9	LisH domain-containing protein ARMC9	579253	487729	954525	916813	945230	828594	795400	680632	867504	862376	836508	881002
Q7Z3F1	Q7Z3F1;A0A087WXK4	GP155_HUMAN	GPR155	Integral membrane protein GPR155							18061		31892.5			
Q7Z3G6	Q7Z3G6;A0A1X7SBR1	PRIC2_HUMAN	PRICKLE2	Prickle-like protein 2	32785.9	38401.2	29207.2	24068.7	34136	29724.2	22935.4	36740.2	6087.81			38295.1
Q7Z3J2	Q7Z3J2;C9J7I2;E7EWW0;H3BVG8;I3L1U5;H3BV68	VP35L_HUMAN	VPS35L	VPS35 endosomal protein sorting factor-like	1.15585e+06	1.33562e+06	1.19085e+06	1.54464e+06	1.47593e+06	1.44993e+06	1.42303e+06	1.28439e+06	1.34717e+06	1.43641e+06	1.45807e+06	1.16962e+06
Q7Z3K3	Q7Z3K3	POGZ_HUMAN	POGZ	Pogo transposable element with ZNF domain	283568	196408	298957	191944	198334	192509	177151	236902	172681	190760	178606	263744
Q7Z3K6	Q7Z3K6	MIER3_HUMAN	MIER3	Mesoderm induction early response protein 3	49689.7	22807.3	34621.6									32001.5
Q7Z3T8	Q7Z3T8	ZFY16_HUMAN	ZFYVE16	Zinc finger FYVE domain-containing protein 16	74712.3	87323.1	132140	131034	122107	130600	133060	85173.3	133522	117362	113578	157195
